fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,brand,model,price
Petrol,2999,6,5,Automatic,0,Sedan,500,4500,362,6100,Mercedes-Benz,S-Class,16450000
Petrol,3799,8,5,Automatic,80,Sedan,650,4000,530,6800,Maserati,Quattroporte,19150000
Diesel,1997,4,5,Automatic,0,Sedan,430,2500,201,4250,Jaguar,XF,7380000
Diesel,1950,4,5,Automatic,66,SUV,400,2800,194,3800,Mercedes-Benz,GLC,6500000
Petrol,3855,8,4,Automatic,81,Convertible,760,5250,591,7500,Ferrari,Portofino,35000000
Petrol,5980,12,4,Automatic,0,Sedan,900,4000,603,5500,Mercedes-Benz,Maybach S-Class,28500000
Petrol,2979,6,5,Automatic,80,SUV,580,5750,350,5750,Maserati,Levante,15650000
Diesel,2956,4,4,Manual,45,Pickup Truck,250,2000,85,3000,Tata,Yodha Pickup,722500
Diesel,3982,8,5,Automatic,85,SUV,700,5000,542,6500,Aston,Martin DBX,38200000
Petrol,5998,12,4,Automatic,90,Convertible,700,1600,562,6000,Bentley,Continental,36000000
Electric,0,0,5,Electric,0,Sedan,1020,0,750,0,Mercedes-Benz,EQS,25400000
Petrol,6496,8,2,Automatic,92,Convertible,718,7000,788,8500,Ferrari,812,57500000
Petrol,3996,6,4,Automatic,73,Luxury,800,4500,591,6250,Audi,RS7,22400000
Petrol,3982,8,5,Automatic,0,SUV,850,5000,603,6500,Mercedes-Benz,AMG GLE 63 S,21500000
Petrol,3994,8,5,Automatic,72,Coupe,630,0,611,0,Mclaren,GT,45000000
Diesel,2925,6,5,Automatic,100,SUV,600,3200,281,4600,Mercedes-Benz,G-Class,17200000
Petrol,3798,6,4,Automatic,74,Coupe,637,5800,562,6800,Nissan,GT-R,21200000
Petrol,2979,6,4,Automatic,52,Coupe,550,5230,410,6250,BMW,M2,8500000
Electric,0,0,5,Electric,0,Sedan,91,3000,41,3500,Mahindra,E Verito,929500
Petrol,6592,12,4,Automatic,83,Coupe,900,4500,591,5500,Rolls,Royce Wraith,67150000
Diesel,2143,4,7,Automatic,57,MUV,380,2400,161,3800,Mercedes-Benz,V-Class,10855000
Petrol,2981,6,4,Automatic,64,Coupe,450,5000,641,6500,Porsche,911,24350000
Petrol,2894,8,5,Automatic,0,Wagon,770,4500,680,6000,Porsche,Panamera,21450000
Petrol,1998,4,4,Automatic,44,Convertible,280,1250,189,6000,Mini,Cooper Convertible,5150000
Petrol,3799,8,5,Automatic,80,Sedan,450,1500,330,1500,Maserati,Ghibli,15400000
Petrol,2487,4,5,Automatic,55,SUV,239,4500,187,6000,Lexus,NX,6825000
Petrol,1997,4,7,Automatic,70,SUV,365,4500,245,5500,Land,Rover Discovery Sport,6834500
Petrol,3956,8,4,Automatic,85,SUV,770,4500,542,6000,Bentley,Bentayga,41000000
Petrol,3990,8,2,Automatic,68,Coupe,800,6000,769,7500,Ferrari,SF90 Stradale,450000
Electric,0,0,2,Electric,0,Hatchback,90,0,20,0,Strom,Motors R3,21800000
Petrol,3456,6,4,Automatic,82,Coupe,350,5100,295,6600,Lexus,LC 500h,23800000
Petrol,4691,8,4,Automatic,86,Coupe,520,4750,460,7000,Maserati,GranTurismo,40200000
Petrol,3902,8,2,Automatic,78,Coupe,770,3250,710,8000,Ferrari,F8 Tributo,10540000
Diesel,2925,6,5,Automatic,93,SUV,700,4000,325,4200,Mercedes-Benz,GLE,14400000
Petrol,2993,6,5,Automatic,0,Coupe,650,5500,502,6250,BMW,M4 Competition,19250000
Petrol,4395,8,4,Automatic,68,Coupe,750,5600,600,6000,BMW,8 Series,4400000
Petrol,1998,4,5,Automatic,51,SUV,280,1350,189,6000,Mini,Cooper Countryman,4300000
Diesel,1950,4,5,Automatic,66,Sedan,320,3500,147,4000,Mercedes-Benz,A-Class Limousine,19550000
Diesel,4691,8,4,Automatic,75,Convertible,520,0,460,0,Maserati,GranCabrio,15900000
Petrol,2999,6,5,Automatic,85,Coupe,520,5800,435,6100,Mercedes-Benz,AMG GLE 53,32500000
Petrol,3998,8,2,Manual,73,Convertible,675,5000,502,6000,Aston,Martin Vantage,9950000
Electric,0,0,5,Automatic,0,SUV,760,0,402,0,Mercedes-Benz,EQC,8247000
Petrol,2996,6,5,Automatic,0,Coupe,520,5000,384,6100,Mercedes-Benz,AMG C 43,11100000
Petrol,3456,6,5,Automatic,65,SUV,335,4600,258,6000,Lexus,RX,726000
CNG,1197,4,5,Manual,65,Sedan,97,4200,65,5600,Hyundai,Xcent Prime,12200000
Electric,0,0,5,Electric,0,SUV,696,0,394,0,Jaguar,I-Pace,73500000
Petrol,6598,12,4,Automatic,0,Convertible,820,5000,563,6000,Rolls,Royce Dawn,20800000
Petrol,4395,8,5,Automatic,83,SUV,750,5600,616,6000,BMW,X5 M,41000000
Petrol,5204,10,2,Automatic,80,Coupe,565,6500,630,8000,Lamborghini,Huracan EVO,4000000
Petrol,1998,4,4,Automatic,44,Hatchback,280,1250,189,6000,Mini,Cooper 3 DOOR,8470000
Diesel,1950,4,5,Automatic,66,Coupe,500,2400,241,4200,Mercedes-Benz,CLS,898500
Diesel,2523,4,2,Manual,60,Pickup Truck,200,2200,75,3200,Mahindra,Bolero PikUp ExtraLong,23300000
Petrol,5663,8,8,Automatic,93,SUV,530,3200,362,5600,Lexus,LX,8700000
Petrol,2996,6,5,Automatic,0,SUV,520,5000,384,6100,Mercedes-Benz,AMG GLC 43,951500
Diesel,2523,4,5,Manual,57,Pickup Truck,200,2200,75,3200,Mahindra,Bolero Camper,3274000
Electric,0,0,5,Electric,0,SUV,250,0,141,0,Tata,Nexon EV Max,523000
Diesel,1493,3,7,Manual,50,SUV,260,2250,100,3750,Mahindra,Bolero Neo,1038000
Diesel,1493,3,7,Manual,50,SUV,260,2250,100,3750,Mahindra,Bolero Neo,19600000
Electric,0,0,5,Electric,0,Coupe,630,0,522,0,Audi,e-tron GT,5800000
CNG,1197,4,5,Manual,55,Sedan,95,4000,70,6000,Maruti,Swift Dzire Tour,19600000
Petrol,1991,4,5,Automatic,51,Sedan,400,4000,301,5800,Mercedes-Benz,AMG A 35,1989000
Diesel,1950,4,5,Automatic,66,Coupe,500,2400,241,4200,Mercedes-Benz,GLC Coupe,3132000
Petrol,1197,4,5,Automatic,37,Hatchback,113,4400,88,6000,Toyota,Glanza,3342500
Petrol,1197,4,5,Automatic,37,Hatchback,113,4400,88,6000,Toyota,Glanza,5590000
Petrol,3996,8,4,Automatic,0,SUV,850,4500,631,6000,Porsche,Cayenne Coupe,18900000
Petrol,3996,8,4,Automatic,0,SUV,850,4500,631,6000,Porsche,Cayenne Coupe,394000
Petrol,1498,4,5,Automatic,40,Sedan,127,5000,96,6400,Honda,City Hybrid,8150000
Diesel,1998,4,5,Automatic,60,SUV,350,2500,170,3750,Compass,Trailhawk,5570000
Diesel,1956,4,7,Automatic,60,SUV,350,2500,167,3750,Jeep,Meridian,1845000
Petrol,1991,4,5,Automatic,0,Hatchback,500,5250,415,6750,Mercedes-Benz,AMG A 45 S,829000
Petrol,1998,4,5,Automatic,59,Sedan,400,4400,254,5000,BMW,3 Series Gran Limousine,1041000
Diesel,1956,4,7,Manual,60,SUV,350,2500,167,3750,MG,Hector Plus,1845000
Petrol,3998,8,5,Automatic,85,SUV,800,4500,591,6000,Audi,RS Q8,21700000
Petrol,796,3,5,Manual,35,Hatchback,69,3500,47,6000,Maruti,Alto 800 tour,394000
